strategy,strategy_label,concurrency,run_id,throughput,p99,median_latency,avg_latency,latency_stddev,latency_cv,errors,warmup_ops_per_client,measured_ops_per_client
disabled,Disabled,100,18,211484.9858877831,1053.0,445.0,462.4162111111111,215.14098550050588,0.46525398619472486,0,100,900
disabled,Disabled,100,19,180701.46791954036,1378.0,511.0,546.3060555555555,337.2244986332823,0.6172812752191594,0,100,900
disabled,Disabled,100,20,76386.70514859124,8656.0,728.0,1299.5384444444444,2203.515867716751,1.6956142214467222,0,100,900
disabled,Disabled,100,21,203415.53487694502,1068.0,468.0,486.55544444444445,198.95542204759283,0.4089059619397802,0,100,900
disabled,Disabled,100,22,215540.4460425603,958.0,442.0,457.9564555555556,202.10063475121206,0.44130971907807254,0,100,900
disabled,Disabled,100,23,207785.71120553848,996.0,460.0,476.5531888888889,184.32148791945357,0.38678051520169177,0,100,900
disabled,Disabled,100,24,180295.89549362368,1720.0,486.0,547.8021555555556,401.45978242102984,0.7328554266346176,0,100,900
disabled,Disabled,100,25,200595.17345768886,1142.0,465.0,493.1737,215.53360651295972,0.4370338615237587,0,100,900
disabled,Disabled,100,26,213529.99198849706,966.0,450.0,463.4101111111111,186.88357119007622,0.40327901077080175,0,100,900
disabled,Disabled,100,27,208361.76989173444,1018.0,462.0,474.9401888888889,185.9941242456339,0.39161588889911103,0,100,900
disabled,Disabled,100,28,74427.22310050849,9776.0,737.0,1317.8741333333332,2319.058610890347,1.7596965842441206,0,100,900
